FechaProceso	Identificador	Agregado	Descripción
25/11/1999	1233	24412	línea 1233
31/08/1998	1234	32839	línea 1234
22/06/1998	1235	27032	línea 1235
10/05/1998	1236	-1866	línea 1236
06/10/1997	1237	7251	línea 1237
30/06/1995	1238	-1184	línea 1238
17/12/1996	1239	16533	línea 1239
07/12/1996	1240	34546	línea 1240
30/05/2000	1241	15854	línea 1241
07/09/1998	1242	-368	línea 1242
21/02/1996	1243	11025	línea 1243
03/10/1999	1244	28392	línea 1244
09/03/1997	1245	15134	línea 1245
23/11/1998	1246	28428	línea 1246
08/07/1997	1247	4793	línea 1247
27/02/1998	1248	1971	línea 1248
24/03/1997	1249	12976	línea 1249
30/08/2000	1250	13949	línea 1250
01/06/1998	1251	-2746	línea 1251
31/12/1996	1252	-1642	línea 1252
12/07/1995	1253	15731	línea 1253
16/10/1997	1254	32552	línea 1254
12/03/1997	1255	20009	línea 1255
10/06/1999	1256	22552	línea 1256
27/02/1996	1257	31133	línea 1257
19/04/1999	1258	27524	línea 1258
09/07/1997	1259	6328	línea 1259
02/06/1996	1260	-407	línea 1260
18/11/2000	1261	27573	línea 1261
05/01/1997	1262	33385	línea 1262
24/11/2000	1263	33167	línea 1263
13/07/1998	1264	3948	línea 1264
19/07/1998	1265	15446	línea 1265
25/12/1998	1266	1787	línea 1266
22/06/2000	1267	18157	línea 1267
30/04/1999	1268	9895	línea 1268
23/04/1996	1269	12529	línea 1269
24/07/1998	1270	23086	línea 1270
22/07/1999	1271	15743	línea 1271
25/07/2000	1272	27044	línea 1272
23/01/1996	1273	19872	línea 1273
19/05/1996	1274	32216	línea 1274
06/10/1996	1275	27953	línea 1275
19/05/1999	1276	25180	línea 1276
02/11/1999	1277	3380	línea 1277
19/11/1995	1278	26689	línea 1278
12/03/2000	1279	5229	línea 1279
19/09/1997	1280	29908	línea 1280
28/09/1997	1281	12922	línea 1281
06/03/2000	1282	8148	línea 1282
02/11/1998	1283	31860	línea 1283
26/03/1999	1284	30781	línea 1284
22/10/1995	1285	1469	línea 1285
12/04/1998	1286	18294	línea 1286
31/05/1999	1287	1351	línea 1287
06/08/1999	1288	18089	línea 1288
27/03/1996	1289	-409	línea 1289
10/09/1995	1290	8910	línea 1290
06/06/1997	1291	32825	línea 1291
06/03/1995	1292	26962	línea 1292
12/08/1995	1293	35894	línea 1293
11/04/1997	1294	4061	línea 1294
15/11/1996	1295	21466	línea 1295
27/07/2000	1296	35881	línea 1296
19/06/1995	1297	1645	línea 1297
11/06/1998	1298	26747	línea 1298
26/08/1998	1299	15847	línea 1299
18/08/1997	1300	196	línea 1300
28/08/1998	1301	586	línea 1301
07/04/1996	1302	10202	línea 1302
07/05/2000	1303	23791	línea 1303
31/08/1997	1304	35223	línea 1304
18/06/1998	1305	18977	línea 1305
11/05/1997	1306	9345	línea 1306
14/02/1998	1307	19638	línea 1307
06/02/1997	1308	1691	línea 1308
08/09/1996	1309	7471	línea 1309
21/04/1997	1310	12275	línea 1310
12/11/1997	1311	4061	línea 1311
21/12/2000	1312	-190	línea 1312
27/08/2000	1313	7709	línea 1313
09/02/1999	1314	10590	línea 1314
22/10/1995	1315	23459	línea 1315
30/09/1996	1316	29231	línea 1316
14/08/1999	1317	177	línea 1317
05/01/1999	1318	36053	línea 1318
10/06/1996	1319	22009	línea 1319
16/02/1996	1320	10557	línea 1320
26/12/1996	1321	25556	línea 1321
07/11/1997	1322	8798	línea 1322
27/05/1999	1323	6505	línea 1323
10/05/1998	1324	14650	línea 1324
03/03/2000	1325	-72	línea 1325
18/04/1995	1326	-1467	línea 1326
16/12/1996	1327	13454	línea 1327
22/06/1996	1328	22477	línea 1328
18/02/1999	1329	19044	línea 1329
02/06/1995	1330	27845	línea 1330
01/06/1999	1331	6088	línea 1331
26/05/1999	1332	31865	línea 1332
25/07/1999	1333	774	línea 1333
30/06/2000	1334	14300	línea 1334
06/11/2000	1335	4153	línea 1335
22/02/1997	1336	25219	línea 1336
17/10/1999	1337	16442	línea 1337
07/07/1998	1338	24376	línea 1338
03/04/1995	1339	1582	línea 1339
06/09/2000	1340	-1354	línea 1340
25/05/2000	1341	36203	línea 1341
27/06/1995	1342	34293	línea 1342
08/12/2000	1343	12547	línea 1343
19/09/2000	1344	12700	línea 1344
29/05/2000	1345	36485	línea 1345
21/07/1996	1346	14021	línea 1346
19/09/2000	1347	31830	línea 1347
12/04/2000	1348	28371	línea 1348
23/08/1997	1349	36653	línea 1349
29/10/1996	1350	8116	línea 1350
26/07/1996	1351	-430	línea 1351
13/03/1997	1352	-1831	línea 1352
26/06/1998	1353	2524	línea 1353
26/06/1997	1354	27073	línea 1354
23/09/1996	1355	11687	línea 1355
02/10/1998	1356	17441	línea 1356
20/07/1996	1357	3683	línea 1357
11/11/1999	1358	17362	línea 1358
13/12/1996	1359	25527	línea 1359
13/04/1998	1360	1502	línea 1360
13/08/1996	1361	15441	línea 1361
30/06/1999	1362	9956	línea 1362
23/03/1995	1363	23418	línea 1363
04/03/1996	1364	25077	línea 1364
08/07/1998	1365	19591	línea 1365
07/04/1996	1366	25029	línea 1366
16/01/1999	1367	1736	línea 1367
12/10/1998	1368	26027	línea 1368
26/06/1998	1369	19883	línea 1369
17/07/1998	1370	13205	línea 1370
17/10/1996	1371	14397	línea 1371
24/09/2000	1372	36551	línea 1372
23/07/1999	1373	641	línea 1373
24/07/1997	1374	3102	línea 1374
26/03/1999	1375	10355	línea 1375
13/03/1995	1376	17838	línea 1376
03/04/2000	1377	11320	línea 1377
23/04/1997	1378	15329	línea 1378
25/10/2000	1379	493	línea 1379
15/11/1995	1380	2664	línea 1380
23/01/1995	1381	24675	línea 1381
19/12/1996	1382	35746	línea 1382
09/06/1998	1383	31674	línea 1383
11/10/1999	1384	18803	línea 1384
15/03/1999	1385	7479	línea 1385
07/09/1996	1386	12504	línea 1386
19/02/1998	1387	14323	línea 1387
13/07/1999	1388	24763	línea 1388
14/01/2000	1389	25494	línea 1389
14/06/2000	1390	13915	línea 1390
28/10/2000	1391	26650	línea 1391
12/03/1999	1392	19630	línea 1392
01/04/1996	1393	7137	línea 1393
22/11/1999	1394	12200	línea 1394
14/11/1999	1395	28962	línea 1395
27/09/1999	1396	14051	línea 1396
08/06/1999	1397	26339	línea 1397
05/08/1999	1398	-2566	línea 1398
10/11/1998	1399	4721	línea 1399
19/08/2000	1400	30596	línea 1400
07/04/1999	1401	24195	línea 1401
04/11/1997	1402	15037	línea 1402
29/06/1997	1403	7248	línea 1403
24/12/1996	1404	2419	línea 1404
02/10/1996	1405	27003	línea 1405
03/09/1995	1406	-717	línea 1406
03/03/1999	1407	10248	línea 1407
11/06/1997	1408	-99	línea 1408
31/10/1998	1409	-1840	línea 1409
21/12/1995	1410	34065	línea 1410
04/07/2000	1411	1431	línea 1411
10/02/2000	1412	35959	línea 1412
28/09/1996	1413	12910	línea 1413
03/08/1997	1414	35016	línea 1414
19/12/1996	1415	14603	línea 1415
21/09/1995	1416	28448	línea 1416
15/06/1998	1417	2675	línea 1417
07/08/1998	1418	-750	línea 1418
24/01/1995	1419	21681	línea 1419
21/08/1997	1420	26586	línea 1420
07/01/1996	1421	34139	línea 1421
29/04/2000	1422	2407	línea 1422
22/04/1999	1423	3574	línea 1423
07/03/1995	1424	10979	línea 1424
08/10/2000	1425	-1282	línea 1425
02/03/1995	1426	941	línea 1426
13/11/1995	1427	33482	línea 1427
16/05/1995	1428	-1227	línea 1428
18/06/1996	1429	4493	línea 1429
06/10/1995	1430	32783	línea 1430
30/07/2000	1431	21783	línea 1431
17/12/1998	1432	33899	línea 1432
02/11/2000	1433	-2314	línea 1433
13/03/1999	1434	3589	línea 1434
18/11/1996	1435	7438	línea 1435
24/02/2000	1436	10412	línea 1436
20/02/1997	1437	-686	línea 1437
01/12/1995	1438	4946	línea 1438
28/05/1995	1439	34810	línea 1439
04/07/1998	1440	26135	línea 1440
28/12/1996	1441	6003	línea 1441
03/11/1997	1442	18790	línea 1442
18/08/1999	1443	6394	línea 1443
11/09/2000	1444	-1670	línea 1444
16/12/1999	1445	4373	línea 1445
01/04/1996	1446	-52	línea 1446
17/07/2000	1447	10273	línea 1447
23/04/1995	1448	33779	línea 1448
22/03/1996	1449	9975	línea 1449
